variable,date,best_model,rmse_vs_era5,correlation_vs_era5
Relative humidity,2015-05-09,RBF linear,21.626119707058088,0.22789674741224197
Relative humidity,2015-05-10,RBF linear,19.469175665246286,0.5733711730533156
Relative humidity,2015-05-11,RBF linear,20.4426567819282,0.5219642977573734
Relative humidity,2015-05-12,RBF linear,15.416698937092448,0.6526110638616054
Relative humidity,2015-06-01,RBF linear,20.91278802196529,0.24814252197414038
Relative humidity,2015-06-02,RBF linear,20.87869236956611,0.4017940819765273
Relative humidity,2015-06-03,RBF linear,19.38871349951696,0.5422386466494465
Relative humidity,2015-06-04,RBF linear,16.176807376884163,0.6628444440843295
Relative humidity,2015-06-05,RBF linear,18.14182285568774,0.33558999852802274
Relative humidity,2015-06-06,RBF linear,10.448516074714007,0.7621082022586427
Relative humidity,2015-06-07,RBF linear,14.104451245312978,0.7025908301512142
Relative humidity,2015-06-08,RBF linear,14.994669969746868,0.6787146182761515
Relative humidity,2015-06-09,RBF linear,15.416141127530471,0.6484629465355842
Relative humidity,2015-06-10,RBF linear,15.076383233920918,0.5729562110597837
Relative humidity,2015-06-11,RBF linear,18.78329202562219,0.392748350471104
Relative humidity,2015-06-12,RBF linear,19.131331966168545,0.47227259059783266
Relative humidity,2015-07-01,RBF linear,24.939179141048026,-0.07803564151269989
Relative humidity,2015-07-02,RBF linear,22.087745349831845,0.3089474316079701
Relative humidity,2015-07-03,RBF linear,18.413455970103556,0.4927510911019706
Relative humidity,2015-07-04,RBF linear,19.735753564961033,0.4805315659640893
Relative humidity,2015-07-05,RBF linear,19.637946271210062,0.2731930157270135
Relative humidity,2015-07-06,RBF linear,13.273852581987175,0.6718393459736206
Relative humidity,2015-07-07,RBF linear,9.213675053759992,0.829714371984419
Relative humidity,2015-07-08,RBF linear,14.322224318473232,0.6007169800004408
Relative humidity,2015-07-09,RBF linear,17.184240615749918,0.46348515276969
Relative humidity,2015-07-10,RBF linear,12.99114793102362,0.5880076009751392
Relative humidity,2015-07-11,RBF linear,16.261333636305345,0.43832168044561015
Relative humidity,2015-07-12,RBF linear,16.262972888169582,0.6631047552892514
Relative humidity,2015-08-01,RBF linear,27.919267919213556,-0.27613783478527615
Relative humidity,2015-08-02,RBF linear,22.223220496399733,0.3407118737614318
Relative humidity,2015-08-03,RBF linear,17.727648677027307,0.48183800941128563
Relative humidity,2015-08-04,RBF linear,22.661688962163712,0.2597215383079973
Relative humidity,2015-08-05,RBF linear,19.869635512359462,0.3647354847042762
Relative humidity,2015-08-06,RBF linear,14.29328992500902,0.7207759985002974
Relative humidity,2015-08-07,RBF linear,17.109405107758672,0.5405429264618575
Relative humidity,2015-08-08,RBF linear,10.616422187999868,0.7821840416591341
Relative humidity,2015-08-09,RBF linear,12.645120537400313,0.7600490537656215
Relative humidity,2015-08-10,RBF linear,15.881391036813389,0.6750131738863027
Relative humidity,2015-08-11,RBF linear,19.313483753602238,0.3744740962320855
Relative humidity,2015-08-12,RBF linear,21.138559318274392,0.4164768203581446
Relative humidity,2015-09-01,RBF linear,21.929646706270223,0.10740503875721569
Relative humidity,2015-09-02,RBF linear,18.71955091642909,0.5431421172929514
Relative humidity,2015-09-03,RBF linear,18.42893084617127,0.5123970142408472
Relative humidity,2015-09-04,RBF linear,17.334512227858333,0.5503132534356782
